_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
4168678,4154195,2017,,1944,PRIVATE,15,Don Valley West,960 EGLINTON AVE E,3,16,2022-11-02,77,Evaluation needs to be conducted in 2 years,15,3,3,5,3,3,4,N/A,5,N/A,N/A,4,5,5,4,4,3,N/A,4,3,N/A,N1529,43.71515813,-79.359256459,316125.459,4841477.143
4168679,4154724,2017,,1969,PRIVATE,18,Willowdale,765 STEELES AVE W,22,167,2022-11-02,92,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,4,4,5,5,4,5,5,3,5,5,5,4,3,N/A,N1821,43.792379298,-79.442796041,309387.955,4850048.034
4168680,4155778,2017,,1966,PRIVATE,18,Willowdale,775 STEELES AVE W,16,194,2022-11-02,93,Evaluation needs to be conducted in 3 years,19,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,N/A,N1821,43.791794206,-79.443484145,309332.622,4849982.993
4168681,4154063,2017,,1956,PRIVATE,19,Beaches-East York,2920 ST CLAIR AVE E,4,15,2022-11-02,88,Evaluation needs to be conducted in 3 years,17,4,4,5,5,4,3,N/A,4,N/A,5,5,5,5,5,4,4,5,4,4,N/A,S1924,43.708477676,-79.3002028238,320886.13,4840743.72
4168682,4153896,2017,,1970,PRIVATE,12,Toronto-St. Paul's,80 MONTCLAIR AVE,6,60,2022-11-02,94,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,3,5,4,5,5,5,5,5,4,5,5,5,4,5,N/A,S1230,43.687630803,-79.414527721,311674.802,4838412.896
4168683,4153487,2017,,1923,PRIVATE,13,Toronto Centre,33 MAITLAND ST,3,37,2022-11-02,96,Evaluation needs to be conducted in 3 years,14,4,4,5,4,5,5,N/A,5,N/A,N/A,5,5,5,5,5,5,N/A,5,N/A,N/A,S1326,43.663884679,-79.382638254,314249.384,4835777.947
4168684,4154064,2017,,1950,PRIVATE,19,Beaches-East York,1001 O'CONNOR DR,4,83,2022-11-02,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,N/A,3,N/A,N/A,4,4,5,5,4,4,N/A,4,4,N/A,S1924,43.7097238899,-79.3091926592,320161.322,4840880.499
4168685,4253819,2017,,1960,PRIVATE,15,Don Valley West,841 MILLWOOD RD,3,18,2022-11-02,70,Evaluation needs to be conducted in 2 years,14,3,2,5,3,2,3,N/A,5,N/A,N/A,3,5,5,3,3,4,N/A,3,N/A,N/A,N1535,43.704354753,-79.3670652416,315498.457,4840274.939
4168686,4152623,2017,,1958,PRIVATE,21,Scarborough Centre,15 CRAIGTON DR,4,27,2022-11-02,84,Evaluation needs to be conducted in 2 years,17,5,3,5,5,5,5,N/A,5,N/A,5,3,3,5,3,5,3,5,3,3,N/A,E2131,43.7270708607,-79.3014572881,320780.078,4842809.1
4168687,4152624,2017,,1956,PRIVATE,21,Scarborough Centre,19 CRAIGTON DR,4,38,2022-11-02,84,Evaluation needs to be conducted in 2 years,17,5,5,5,5,5,5,N/A,3,N/A,5,3,3,5,3,5,5,3,3,3,N/A,E2131,43.7274308243,-79.3009591644,320820.114,4842849.183
4168688,4152625,2017,,1955,PRIVATE,21,Scarborough Centre,23 CRAIGTON DR,4,36,2022-11-02,80,Evaluation needs to be conducted in 2 years,17,5,5,5,5,5,5,N/A,3,N/A,5,3,3,5,3,3,3,3,3,4,N/A,E2131,43.7272130939,-79.3004559002,320860.717,4842825.09
4168689,4153512,2017,,1917,PRIVATE,13,Toronto Centre,49 DUNDONALD ST,5,32,2022-11-02,75,Evaluation needs to be conducted in 2 years,15,3,3,5,2,3,4,N/A,5,3,N/A,2,3,5,5,4,5,N/A,4,N/A,N/A,S1322,43.666349498,-79.381871851,314310.814,4836051.846
4168690,4154205,2017,,1965,PRIVATE,15,Don Valley West,1903 BAYVIEW AVE,5,27,2022-11-02,82,Evaluation needs to be conducted in 2 years,19,3,5,5,3,4,4,3,5,3,3,3,5,5,5,4,5,5,5,3,N/A,N1529,43.7157230263,-79.377538515,314652.469,4841536.636
4168691,4154725,2017,,1970,PRIVATE,18,Willowdale,755 STEELES AVE W,15,194,2022-11-02,97,Evaluation needs to be conducted in 3 years,18,5,5,5,4,5,5,5,5,5,N/A,5,5,5,5,5,5,4,4,5,N/A,N1821,43.792827996,-79.441654119,309479.819,4850097.949
4168692,4153995,2017,,1948,PRIVATE,12,Toronto-St. Paul's,869 AVENUE RD,3,10,2022-11-02,75,Evaluation needs to be conducted in 2 years,16,5,2,5,2,3,4,N/A,5,N/A,N/A,3,4,5,3,4,4,4,3,4,N/A,S1227,43.6989299659,-79.4057564646,312380.792,4839668.024
4168693,4153996,2018,,1952,PRIVATE,12,Toronto-St. Paul's,873 AVENUE RD,4,10,2022-11-02,79,Evaluation needs to be conducted in 2 years,16,4,3,5,3,3,4,N/A,5,N/A,N/A,3,5,5,4,4,4,4,4,3,N/A,S1227,43.6992180008,-79.4058760142,312371.12,4839700.014
4168694,4153997,2018,,1950,PRIVATE,12,Toronto-St. Paul's,875 AVENUE RD,3,10,2022-11-02,79,Evaluation needs to be conducted in 2 years,16,4,3,5,3,3,4,N/A,5,N/A,N/A,3,5,5,4,4,4,4,4,3,N/A,S1227,43.6993433879,-79.4059378542,312366.12,4839713.939
4168695,4154121,2017,,1970,PRIVATE,14,Toronto-Danforth,33 GAMBLE AVE,4,28,2022-11-02,80,Evaluation needs to be conducted in 2 years,16,4,4,5,5,4,5,N/A,3,N/A,N/A,4,5,5,3,3,3,4,4,3,N/A,S1421,43.6894011372,-79.352872034,316645.318,4838615.567
4168696,4155147,2020,,1954,PRIVATE,05,York South-Weston,141 WOODWARD AVE,3,11,2022-11-01,66,Evaluation needs to be conducted in 2 years,16,3,5,2,2,3,1,N/A,4,N/A,3,3,4,5,4,3,4,N/A,4,3,N/A,W0525,43.7096923975,-79.5068983102,304228.562,4840859.434
4168697,4154843,2017,,1986,PRIVATE,17,Don Valley North,70 RUDDINGTON DR,18,107,2022-11-01,99,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,N/A,5,5,5,5,5,5,5,5,4,5,N1721,43.79254847,-79.39077874,313611.526,4850015.004
4168698,4154001,2017,,1955,PRIVATE,12,Toronto-St. Paul's,211 EGLINTON AVE W,3,31,2022-11-01,87,Evaluation needs to be conducted in 3 years,14,5,5,5,4,4,3,N/A,5,N/A,N/A,4,5,5,4,5,4,N/A,3,N/A,N/A,S1227,43.705039078,-79.405292084,312417.183,4840347.741
4168699,4153989,2017,,1940,PRIVATE,12,Toronto-St. Paul's,63 MAXWELL AVE,3,33,2022-11-01,85,Evaluation needs to be conducted in 2 years,16,4,5,5,4,5,5,N/A,5,N/A,4,5,5,5,3,4,2,N/A,3,4,N/A,S1227,43.705877825,-79.4013471201,312735.285,4840440.348
4168700,4156313,2017,,1965,TCHC,20,Scarborough Southwest,3181 EGLINTON AVE E,7,103,2022-11-01,66,Evaluation needs to be conducted in 2 years,20,3,3,5,3,5,5,3,2,2,3,2,5,3,3,3,2,3,3,3,5,E2027,43.7426293696,-79.2196525266,327364.758,4844556.449
4168701,4155158,2017,,1994,SOCIAL HOUSING,05,York South-Weston,15 KING ST,12,119,2022-11-01,84,Evaluation needs to be conducted in 2 years,20,3,4,4,4,4,5,4,4,5,5,3,4,4,5,4,4,5,5,3,5,W0524,43.7019082741,-79.5198266294,303186.471,4839994.908
4168702,4154203,2017,,1961,PRIVATE,15,Don Valley West,892 EGLINTON AVE E,4,37,2022-11-01,82,Evaluation needs to be conducted in 2 years,17,4,5,5,3,4,4,N/A,4,N/A,4,4,5,5,3,5,5,3,3,4,N/A,N1529,43.7140370349,-79.3641217353,315733.878,4841350.981
4168703,4154198,2017,,1945,PRIVATE,15,Don Valley West,958 EGLINTON AVE E,3,24,2022-11-01,72,Evaluation needs to be conducted in 2 years,15,4,5,5,3,3,3,N/A,4,N/A,3,3,3,5,3,3,4,N/A,3,N/A,N/A,N1529,43.714859025,-79.36014009,316054.311,4841443.795
4168704,4154193,2017,,1965,PRIVATE,15,Don Valley West,970 EGLINTON AVE E,4,50,2022-11-01,75,Evaluation needs to be conducted in 2 years,17,4,3,5,3,3,3,N/A,5,N/A,3,3,5,5,3,4,5,3,3,4,N/A,N1529,43.715346487,-79.358584186,316179.596,4841498.159
4168705,4620278,2019,,1929,PRIVATE,09,Davenport,915 ST CLAIR AVE W,3,18,2022-11-01,86,Evaluation needs to be conducted in 3 years,14,5,5,5,4,4,5,N/A,4,N/A,N/A,4,4,5,4,3,4,N/A,4,N/A,N/A,S0928,43.679681068,-79.433946431,310109.912,4837528.266
4168706,4152782,2017,,1965,PRIVATE,20,Scarborough Southwest,3750 ST CLAIR AVE E,7,55,2022-11-01,81,Evaluation needs to be conducted in 2 years,18,5,3,3,5,3,5,5,5,5,N/A,3,4,5,3,5,5,3,3,3,N/A,E2032,43.7212204138,-79.242301179,325547.906,4842172.186
4168707,4169264,2017,,1926,PRIVATE,12,Toronto-St. Paul's,80 ST CLAIR AVE W,4,25,2022-11-01,90,Evaluation needs to be conducted in 3 years,16,4,3,5,4,5,5,N/A,5,5,4,5,5,5,3,5,5,N/A,4,N/A,N/A,S1232,43.6874952579,-79.3985597973,312962.429,4838398.309
4168708,4152806,2017,,1966,PRIVATE,24,Scarborough-Guildwood,55 LIVINGSTON RD,14,174,2022-11-01,94,Evaluation needs to be conducted in 3 years,20,5,5,5,5,4,5,5,5,5,5,4,5,5,3,5,5,5,4,4,5,E2435,43.7443211202,-79.1973052974,329164.011,4844750.689
4168709,4153152,2017,,1930,PRIVATE,09,Davenport,410 DOVERCOURT RD,3,13,2022-11-01,93,Evaluation needs to be conducted in 3 years,14,5,4,5,5,5,5,N/A,4,N/A,N/A,4,4,5,5,5,5,N/A,4,N/A,N/A,S0934,43.652964888,-79.426359166,310724.394,4834560.735
4168710,4154197,2017,,1958,PRIVATE,15,Don Valley West,31 BRENTCLIFFE RD,4,16,2022-11-01,73,Evaluation needs to be conducted in 2 years,15,2,5,5,3,3,3,N/A,5,N/A,N/A,3,5,5,3,3,3,N/A,3,4,N/A,N1529,43.7152123355,-79.3596903826,316090.745,4841482.152
4168711,4155736,2017,,1967,PRIVATE,06,York Centre,6020 BATHURST ST,11,149,2022-11-01,87,Evaluation needs to be conducted in 3 years,19,5,4,5,5,4,4,4,4,N/A,4,5,5,4,4,4,4,5,4,4,5,N0622,43.7870875087,-79.4473742209,309020.18,4849458.928
4168712,4155737,2017,,1967,PRIVATE,06,York Centre,6030 BATHURST ST,19,247,2022-11-01,89,Evaluation needs to be conducted in 3 years,19,5,4,5,4,5,5,4,4,3,N/A,4,5,5,4,5,5,5,4,4,5,N0622,43.7878226343,-79.4475892246,309002.816,4849540.586
4168713,4153664,2017,,1927,PRIVATE,19,Beaches-East York,2269 QUEEN ST E,3,17,2022-11-01,91,Evaluation needs to be conducted in 3 years,14,5,4,5,5,3,5,N/A,5,N/A,N/A,5,5,5,5,4,4,N/A,4,N/A,N/A,S1942,43.6712526429,-79.293268236,321455.209,4836609.522
4168714,4153153,2018,,1925,PRIVATE,09,Davenport,34 HEYDON PARK RD,3,31,2022-11-01,87,Evaluation needs to be conducted in 3 years,14,4,4,5,4,4,5,N/A,5,N/A,N/A,4,4,5,4,4,5,N/A,4,N/A,N/A,S0934,43.652968445,-79.427022547,310670.881,4834561.084
4168715,4244932,2017,,2015,PRIVATE,12,Toronto-St. Paul's,310 TWEEDSMUIR AVE,30,251,2022-11-01,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1230,43.6853118353,-79.4144239839,311683.683,4838154.312
4168716,4244947,2017,,2014,PRIVATE,12,Toronto-St. Paul's,320 TWEEDSMUIR AVE,30,336,2022-11-01,98,Evaluation needs to be conducted in 3 years,19,5,5,5,4,N/A,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,S1230,43.6859132335,-79.4145838905,311670.723,4838221.114
4168717,4154841,2017,,1967,PRIVATE,17,Don Valley North,10 RUDDINGTON DR,13,155,2022-11-01,92,Evaluation needs to be conducted in 3 years,19,4,5,5,5,5,5,4,5,5,3,4,5,5,5,5,5,5,4,3,N/A,N1721,43.7888101852,-79.3913448594,313529.412,4849654.673
4168718,4156564,2017,,1968,PRIVATE,17,Don Valley North,11 RUDDINGTON DR,13,155,2022-11-01,97,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,N1721,43.7877925781,-79.3916951012,313501.368,4849541.583
4168719,4154845,2017,,1968,PRIVATE,17,Don Valley North,50 RUDDINGTON DR,14,189,2022-11-01,93,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,3,4,4,N/A,N1721,43.7904933942,-79.3906931297,313581.621,4849841.742
4168720,4154844,2017,,1966,PRIVATE,17,Don Valley North,60 RUDDINGTON DR,18,179,2022-11-01,98,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,N1721,43.791632438,-79.390465773,313640.418,4849905.415
4168721,4155149,2017,,1953,PRIVATE,05,York South-Weston,145 WOODWARD AVE,3,11,2022-11-01,68,Evaluation needs to be conducted in 2 years,16,3,4,5,3,3,1,N/A,3,N/A,4,4,2,3,3,4,5,N/A,3,4,N/A,W0525,43.7098157296,-79.5063954435,304269.088,4840873.131
4168722,4154814,2017,,1972,PRIVATE,17,Don Valley North,25 PARKWAY FOREST DR,17,300,2022-10-31,96,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,N1730,43.7692472211,-79.3416602499,317532.252,4847487.714
4168723,4153731,2017,,2013,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2022-10-31,99,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,N1730,43.774618023,-79.343572185,317376.948,4848085.058
4168724,4154809,2017,,1967,PRIVATE,17,Don Valley North,95 HAVENBROOK BLVD,14,198,2022-10-31,86,Evaluation needs to be conducted in 3 years,19,5,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,N/A,N1730,43.7688139457,-79.3473075283,317077.699,4847438.733
4168725,4286257,2018,,1969,TCHC,12,Toronto-St. Paul's,69 HOLLY ST,4,14,2022-10-31,67,Evaluation needs to be conducted in 2 years,19,3,4,5,2,3,3,4,5,4,3,3,2,2,3,3,4,4,4,3,N/A,S1228,43.706257789,-79.396238397,313137.344,4840500.243
4168726,4153728,2017,,2007,SOCIAL HOUSING,19,Beaches-East York,2802 DANFORTH AVE,4,25,2022-10-31,75,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,3,4,3,4,N/A,3,3,5,4,3,4,N/A,5,N/A,4,S1930,43.6896558449,-79.2961972389,321214.033,4838653.442
4168727,4156573,2017,,1964,PRIVATE,12,Toronto-St. Paul's,18 BROWNLOW AVE,19,185,2022-10-31,97,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,S1228,43.7064251605,-79.3912717139,313547.231,4840502.17
4168728,4154659,2017,,1955,PRIVATE,08,Eglinton-Lawrence,3255 BATHURST ST,4,22,2022-10-31,85,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,N/A,4,N/A,4,4,5,5,4,5,4,4,4,3,N/A,N0824,43.7239351487,-79.4303884781,310393.099,4842444.013
4168729,4154660,2017,,1955,PRIVATE,08,Eglinton-Lawrence,3257 BATHURST ST,4,20,2022-10-31,84,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,3,N/A,4,N/A,4,4,5,5,4,5,4,4,4,3,N/A,N0824,43.7241610224,-79.430453768,310387.818,4842469.102
4168730,4154662,2017,,1965,PRIVATE,08,Eglinton-Lawrence,3311 BATHURST ST,9,102,2022-10-31,94,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,4,4,5,N/A,5,5,5,5,4,5,5,4,3,5,N0824,43.7246901673,-79.4304297831,310389.702,4842527.889
4168731,4233268,2017,,1951,PRIVATE,12,Toronto-St. Paul's,871 AVENUE RD,3,10,2022-10-31,84,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,5,N/A,5,N/A,N/A,4,4,5,5,4,2,4,5,4,N/A,S1227,43.699066984,-79.4058203443,312375.626,4839683.241
4168732,4167693,2017,,1925,PRIVATE,12,Toronto-St. Paul's,326 AVENUE RD,3,18,2022-10-31,89,Evaluation needs to be conducted in 3 years,14,5,5,5,4,5,5,N/A,2,N/A,N/A,4,5,5,3,5,5,N/A,4,N/A,N/A,S1237,43.680405146,-79.399282271,312904.833,4837611.481
4168733,4170952,2017,,1925,PRIVATE,12,Toronto-St. Paul's,330 AVENUE RD,3,19,2022-10-31,84,Evaluation needs to be conducted in 2 years,14,5,4,5,4,4,5,N/A,2,N/A,N/A,4,5,5,3,5,4,N/A,4,N/A,N/A,S1237,43.680535547,-79.399334602,312900.596,4837625.963
4168734,4152614,2017,,1960,PRIVATE,20,Scarborough Southwest,536 BIRCHMOUNT RD,3,28,2022-10-31,85,Evaluation needs to be conducted in 2 years,17,4,3,5,5,5,5,N/A,5,N/A,5,3,3,5,3,5,3,5,3,5,N/A,E2029,43.7105768969,-79.2702122358,323302.354,4840983.125
4168735,4153723,2017,,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,2022-10-31,69,Evaluation needs to be conducted in 2 years,18,3,4,4,3,4,2,4,3,4,N/A,3,5,5,3,3,3,N/A,3,3,3,S1936,43.6847616076,-79.2954429245,321276.181,4838109.87
4168736,4154036,2017,,1956,PRIVATE,19,Beaches-East York,100 GOODWOOD PARK CRT,5,102,2022-10-31,78,Evaluation needs to be conducted in 2 years,19,5,3,4,4,4,5,4,4,4,3,3,4,5,4,4,4,3,3,4,N/A,S1930,43.695437477,-79.296720543,321156.91,4839298.146
4168737,4154035,2017,,1960,PRIVATE,19,Beaches-East York,102 GOODWOOD PARK CRT,7,132,2022-10-31,79,Evaluation needs to be conducted in 2 years,19,5,4,4,4,5,5,3,4,4,3,3,4,5,4,3,4,3,4,4,N/A,S1930,43.695541815,-79.296047547,321224.249,4839308.335
4168738,4154034,2017,,1960,PRIVATE,19,Beaches-East York,104 GOODWOOD PARK CRT,7,122,2022-10-31,80,Evaluation needs to be conducted in 2 years,19,5,4,4,5,5,5,4,3,4,2,3,4,5,4,4,5,3,3,4,N/A,S1930,43.695428453,-79.295514265,321267.267,4839295.845
4168739,4156492,2017,,1974,PRIVATE,07,Humber River-Black Creek,235 GOSFORD BLVD,15,131,2022-10-31,81,Evaluation needs to be conducted in 2 years,18,5,4,5,4,5,5,3,3,4,N/A,5,5,5,4,3,3,3,4,3,N/A,W0724,43.770115213,-79.522300555,302992.5,4847674.032
4168740,4154428,2017,,1965,PRIVATE,06,York Centre,2251 JANE ST,3,11,2022-10-31,91,Evaluation needs to be conducted in 3 years,15,4,4,5,5,5,4,N/A,5,N/A,N/A,4,5,5,4,5,4,N/A,4,5,N/A,N0627,43.7254545938,-79.5093332318,304032.575,4842610.516
4168741,4154429,2017,,1965,PRIVATE,06,York Centre,2253 JANE ST,3,11,2022-10-31,91,Evaluation needs to be conducted in 3 years,15,4,4,5,5,5,4,N/A,5,N/A,N/A,4,5,5,4,5,4,N/A,4,5,N/A,N0627,43.7256526155,-79.5093932499,304027.743,4842632.515
4168742,4154430,2017,,1965,PRIVATE,06,York Centre,2255 JANE ST,3,11,2022-10-31,89,Evaluation needs to be conducted in 3 years,15,4,4,5,5,5,4,N/A,4,N/A,N/A,4,5,5,4,5,4,N/A,4,5,N/A,N0627,43.7258913153,-79.5094480402,304023.333,4842659.033
4168743,4154431,2017,,1965,PRIVATE,06,York Centre,2257 JANE ST,3,11,2022-10-31,91,Evaluation needs to be conducted in 3 years,15,4,4,5,5,5,4,N/A,5,N/A,N/A,4,5,5,4,5,4,N/A,4,5,N/A,N0627,43.7260982745,-79.5095108291,304018.278,4842682.025
4168744,4154412,2017,,1965,PRIVATE,06,York Centre,2782 KEELE ST,4,27,2022-10-31,78,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,4,N/A,3,N/A,N/A,3,4,5,5,4,4,3,3,4,N/A,N0627,43.7279008262,-79.4829037793,306161.851,4842882.356
4168745,4154645,2017,,1960,PRIVATE,06,York Centre,521-523 FINCH AVE W,6,179,2022-10-29,81,Evaluation needs to be conducted in 2 years,19,5,4,5,4,4,4,3,4,4,3,4,4,5,4,4,4,3,5,4,N/A,N0624,43.7729614499,-79.444496063,309267.54,4847942.623
4168746,4155063,2017,,1950,PRIVATE,09,Davenport,2036 DUFFERIN ST,3,12,2022-10-29,77,Evaluation needs to be conducted in 2 years,14,4,4,5,4,N/A,4,N/A,4,N/A,N/A,4,4,5,3,3,3,N/A,4,3,N/A,S0922,43.6863686196,-79.446744343,309077.853,4838269.541
4168747,4153662,2017,,1975,PRIVATE,19,Beaches-East York,2263 QUEEN ST E,3,18,2022-10-29,91,Evaluation needs to be conducted in 3 years,14,5,5,5,5,N/A,5,N/A,5,N/A,N/A,5,4,5,4,4,4,N/A,4,4,N/A,S1942,43.6710986709,-79.2938756588,321406.268,4836592.298
4168748,4153703,2017,,2009,PRIVATE,19,Beaches-East York,1908 GERRARD ST E,5,28,2022-10-28,74,Evaluation needs to be conducted in 2 years,16,3,4,4,3,N/A,5,N/A,4,3,N/A,3,3,3,4,3,4,5,4,4,N/A,S1934,43.6804613958,-79.3122562519,319921.74,4837628.967
4168749,4152610,2017,,1969,PRIVATE,20,Scarborough Southwest,570 BIRCHMOUNT RD,10,112,2022-10-28,87,Evaluation needs to be conducted in 3 years,19,5,3,5,4,5,3,3,5,5,5,4,5,5,4,5,5,5,4,3,N/A,E2029,43.7133504142,-79.2715314234,323195.194,4841290.963
4168750,4154825,2017,,1965,PRIVATE,17,Don Valley North,35 ESTERBROOKE AVE,16,218,2022-10-28,98,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,N1727,43.7784516563,-79.3501562964,316846.419,4848509.027
4168751,4153950,2017,,1960,PRIVATE,08,Eglinton-Lawrence,570 EGLINTON AVE W,3,11,2022-10-28,79,Evaluation needs to be conducted in 2 years,17,4,5,5,2,4,2,N/A,5,3,N/A,3,5,5,5,5,4,4,2,4,N/A,N0833,43.7031059337,-79.4169030631,311481.91,4840131.013
4168752,4153952,2017,,1968,PRIVATE,08,Eglinton-Lawrence,600 EGLINTON AVE W,6,60,2022-10-28,86,Evaluation needs to be conducted in 3 years,18,5,5,5,3,5,2,N/A,5,4,4,5,5,5,5,3,4,3,5,4,N/A,N0833,43.7028276232,-79.4182269632,311375.237,4840099.988
4168753,4153954,2017,,1962,PRIVATE,08,Eglinton-Lawrence,21 MAYFAIR AVE,11,138,2022-10-28,96,Evaluation needs to be conducted in 3 years,18,5,5,5,4,5,3,5,5,5,N/A,5,5,5,5,5,5,5,4,5,N/A,N0832,43.7037098752,-79.4222136695,311053.822,4840197.688
4168754,4155089,2017,,1950,PRIVATE,05,York South-Weston,43 GLENHAVEN ST,3,11,2022-10-28,89,Evaluation needs to be conducted in 3 years,16,5,4,5,4,3,4,N/A,5,N/A,N/A,4,5,5,5,5,4,5,5,3,N/A,W0533,43.6931694269,-79.4699479561,307206.968,4839024.153
4168755,4155088,2017,,1993,SOCIAL HOUSING,05,York South-Weston,2480 EGLINTON AVE W,8,97,2022-10-28,83,Evaluation needs to be conducted in 2 years,18,5,4,5,2,3,5,4,4,4,N/A,3,5,5,5,3,5,N/A,5,4,4,W0533,43.6916984742,-79.4694113226,307250.278,4838860.746
4168756,4154400,2017,,1966,TCHC,06,York Centre,2195 JANE ST,11,294,2022-10-28,77,Evaluation needs to be conducted in 2 years,18,3,3,5,3,5,4,4,3,4,N/A,4,3,5,4,4,4,4,4,3,N/A,N0627,43.7222134695,-79.5079300215,304145.58,4842250.448
4168757,4154402,2017,,1964,PRIVATE,06,York Centre,2219 JANE ST,3,12,2022-10-28,68,Evaluation needs to be conducted in 2 years,15,3,3,5,2,4,2,N/A,3,N/A,N/A,4,5,5,3,3,3,N/A,3,3,N/A,N0627,43.7235999669,-79.5089221535,304065.665,4842404.48
4168758,4154404,2017,,1965,PRIVATE,06,York Centre,2233 JANE ST,5,39,2022-10-28,75,Evaluation needs to be conducted in 2 years,17,3,4,5,3,2,4,N/A,4,4,4,5,4,5,N/A,3,4,2,4,4,N/A,N0627,43.7246876159,-79.5089652958,304062.206,4842525.308
4168759,4275806,2017,,1960,PRIVATE,06,York Centre,2 WYCOMBE RD,3,40,2022-10-28,89,Evaluation needs to be conducted in 3 years,17,4,5,5,4,5,4,N/A,4,5,4,5,5,5,4,4,4,N/A,4,5,N/A,N0627,43.7430002266,-79.4871354052,305820.727,4844559.755
4168760,4275811,2017,,1960,PRIVATE,06,York Centre,10 WYCOMBE RD,3,40,2022-10-28,82,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,N/A,4,5,3,5,5,5,4,3,4,N/A,3,3,N/A,N0627,43.7432824572,-79.4876757538,305808.244,4844545.228
4168761,4152675,2017,,1960,PRIVATE,20,Scarborough Southwest,821 BIRCHMOUNT RD,6,53,2022-10-28,84,Evaluation needs to be conducted in 2 years,17,5,3,5,5,5,5,N/A,5,5,N/A,3,3,5,3,5,3,5,3,3,N/A,E2023,43.7287302268,-79.2769823529,322751.357,4842998.379
4168762,4152676,2017,,1961,PRIVATE,20,Scarborough Southwest,829 BIRCHMOUNT RD,6,65,2022-10-28,86,Evaluation needs to be conducted in 3 years,17,5,3,5,3,5,5,N/A,5,5,N/A,3,3,5,4,5,5,5,4,3,N/A,E2023,43.7290106156,-79.2769309728,322755.413,4843029.54
4168763,4153708,2017,,1960,PRIVATE,19,Beaches-East York,5 BENLAMOND AVE,5,55,2022-10-28,90,Evaluation needs to be conducted in 3 years,18,5,5,5,5,5,2,N/A,5,5,4,5,3,5,5,5,5,5,3,4,N/A,S1935,43.680371012,-79.299397904,320958.234,4837622.283
4168764,4154839,2017,,1970,PRIVATE,17,Don Valley North,640 SHEPPARD AVE E,19,128,2022-10-28,93,Evaluation needs to be conducted in 3 years,20,5,5,5,3,4,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,N1725,43.768469253,-79.382764906,314222.811,4847396.752
4168765,4154838,2019,,1958,PRIVATE,17,Don Valley North,688 SHEPPARD AVE E,4,35,2022-10-28,89,Evaluation needs to be conducted in 3 years,17,5,5,5,5,5,5,N/A,3,N/A,5,5,5,5,4,5,4,3,3,4,N/A,N1725,43.769190713,-79.379327637,314499.417,4847477.313
